Nume,Link
"Laptop LENOVO IdeaPad 1 15IGL7, Intel Celeron N4120 pana la 2.6GHz, 15.6"" HD, 4GB, eMMC 128GB, Intel UHD Graphics, Windows 11 Home S, albastru",https://altex.ro/laptop-lenovo-ideapad-1-15igl7-intel-celeron-n4120-pana-la-2-6ghz-15-6-hd-4gb-emmc-128gb-intel-uhd-graphics-windows-11-home-s-albastru/cpd/LAP82V7000HRM/
"Laptop LENOVO IdeaPad 3 15ALC6, AMD Ryzen 3 5300U pana la 3.8GHz, 15.6"" Full HD, 8GB, SSD 256GB, AMD Radeon Graphics, Free Dos, Arctic Grey",https://altex.ro/laptop-lenovo-ideapad-3-15alc6-amd-ryzen-3-5300u-pana-la-3-8ghz-15-6-full-hd-8gb-ssd-256gb-amd-radeon-graphics-free-dos-arctic-grey/cpd/LAP82KU010JRM/
"Laptop Gaming ASUS TUF F15 FX506HC-HN011, Intel Core i5-11400H pana la 4.5GHz, 15.6"" Full HD, 8GB, SSD 512GB, NVIDIA GeForce RTX 3050 4GB, Free DOS, negru",https://altex.ro/laptop-gaming-asus-tuf-f15-fx506hc-hn011-intel-core-i5-11400h-pana-la-4-5ghz-15-6-full-hd-8gb-ssd-512gb-nvidia-geforce-rtx-3050-4gb-free-dos-negru/cpd/LAPFX506HCHN011/
"Laptop ASUS VivoBook 15 X1500EA-BQ2341, Intel Core i7-1165G7 pana la 4.7GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel Iris Xe, Free DOS, negru",https://altex.ro/laptop-asus-vivobook-15-x1500ea-bq2341-intel-core-i7-1165g7-pana-la-4-7ghz-15-6-full-hd-8gb-ssd-512gb-intel-iris-xe-free-dos-negru/cpd/LAPX1500EBQ2341/
"Laptop Gaming LENOVO Legion 5 15IMH6, Intel Core i5-10500H pana la 4.5GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 3050 4GB, Free Dos, negru",https://altex.ro/laptop-gaming-lenovo-legion-5-15imh6-intel-core-i5-10500h-pana-la-4-5ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-rtx-3050-4gb-free-dos-negru/cpd/LAP82NL001URM/
"Laptop gaming LENOVO IdeaPad Gaming 3 15ACH6, AMD Ryzen 5 5600H pana la 4.2GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce GTX 1650, Free DOS, negru",https://altex.ro/laptop-gaming-lenovo-ideapad-gaming-3-15ach6-amd-ryzen-5-5600h-pana-la-4-2ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-gtx-1650-free-dos-negru/cpd/LAP82K2008KRM/
"Laptop ASUS Vivobook 15 X1502ZA-BQ546, Intel Core i3-1220P pana la 4.4GHz, 15.6"" Full HD, 8GB, SSD 256GB, Intel UHD Graphics, Free Dos, Icelight Silver",https://altex.ro/laptop-asus-vivobook-15-x1502za-bq546-intel-core-i3-1220p-pana-la-4-4ghz-15-6-full-hd-8gb-ssd-256gb-intel-uhd-graphics-free-dos-icelight-silver/cpd/LAPX1502ZABQ546/
"Laptop HP 15s-eq1002nq, AMD Athlon Gold 3150U pana la 3.3GHz, 15.6"" Full HD, 4GB, SSD 256GB, AMD Radeon Graphics, Free DOS, gri inchis",https://altex.ro/laptop-hp-15s-eq1002nq-amd-athlon-gold-3150u-pana-la-3-3ghz-15-6-full-hd-4gb-ssd-256gb-amd-radeon-graphics-free-dos-gri-inchis/cpd/LAP1V2H1EA/
"Laptop ASUS E510MA-BR889, Intel Pentium Silver N5030 pana la 3.1GHz, 15.6"" HD, 4GB, SSD 256GB, Intel UHD Graphics 605, Free Dos, negru",https://altex.ro/laptop-asus-e510ma-br889-intel-pentium-silver-n5030-pana-la-3-1ghz-15-6-hd-4gb-ssd-256gb-intel-uhd-graphics-605-free-dos-negru/cpd/LAPE510MABR889/
"Laptop LENOVO IdeaPad 3 17ALC6, AMD Ryzen 5 5500U pana la 4.0GHz, 17.3"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Free DOS, albastru",https://altex.ro/laptop-lenovo-ideapad-3-17alc6-amd-ryzen-5-5500u-pana-la-4-0ghz-17-3-full-hd-8gb-ssd-512gb-amd-radeon-graphics-free-dos-albastru/cpd/LAP82KV0021RM/
"Laptop ALLVIEW AllBook H, Intel Celeron N4000 pana la 2.6GHz, 15.6"" Full HD, 4GB, SSD 256GB, Intel UHD Graphics 600, Free DOS, gri",https://altex.ro/laptop-allview-allbook-h-intel-celeron-n4000-pana-la-2-6ghz-15-6-full-hd-4gb-ssd-256gb-intel-uhd-graphics-600-free-dos-gri/cpd/LAPALLBOOKH/
"Laptop LENOVO IdeaPad 5 14ITL05, Intel Core i5-1135G7 pana la 4.2GHz, 14"" Full HD, 16GB, SSD 512GB, Intel Iris Xe Graphics, Free DOS, gri",https://altex.ro/laptop-lenovo-ideapad-5-14itl05-intel-core-i5-1135g7-pana-la-4-2ghz-14-full-hd-16gb-ssd-512gb-intel-iris-xe-graphics-free-dos-gri/cpd/LAP82FE00H1RM/
"Laptop ASUS E510MA-BR1077, Intel Pentium Silver N5030 pana la 3.1GHz, 15.6"" HD, 4GB, SSD 256GB, Intel UHD Graphics 605, Free Dos, negru",https://altex.ro/laptop-asus-e510ma-br1077-intel-pentium-silver-n5030-pana-la-3-1ghz-15-6-hd-4gb-ssd-256gb-intel-uhd-graphics-605-free-dos-negru/cpd/LAPE510MABR1077/
"Laptop Gaming ASUS TUF F15 FX506HC-HN066, Intel Core i7-11800H pana la 4.6GHz, 15.6"" Full HD, 8GB, SSD 1TB, NVIDIA GeForce RTX 3050 4GB, Free DOS, Eclipse Gray",https://altex.ro/laptop-gaming-asus-tuf-f15-fx506hc-hn066-intel-core-i7-11800h-pana-la-4-6ghz-15-6-full-hd-8gb-ssd-1tb-nvidia-geforce-rtx-3050-4gb-free-dos-eclipse-gray/cpd/LAPFX506HCHN066/
"Laptop ASUS Vivobook 16X M1603QA-MB103, AMD Ryzen 7 5800H pana la 4.4GHz, 16"" WUXGA, 16GB, SSD 1TB, AMD Radeon Graphics, Free DOS, argintiu",https://altex.ro/laptop-asus-vivobook-16x-m1603qa-mb103-amd-ryzen-7-5800h-pana-la-4-4ghz-16-wuxga-16gb-ssd-1tb-amd-radeon-graphics-free-dos-argintiu/cpd/LAPM1603QAMB103/
"Laptop HUAWEI MateBook D15, Intel Core i5-1135G7 pana la 4.2GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel Iris Xe Graphics, Free DOS, argintiu",https://altex.ro/laptop-huawei-matebook-d15-intel-core-i5-1135g7-pana-la-4-2ghz-15-6-full-hd-8gb-ssd-512gb-intel-iris-xe-graphics-free-dos-argintiu/cpd/LAP53013KTX/
"Laptop gaming LENOVO IdeaPad Gaming 3 15IAH7, Intel Core i5-12450H pana la 4.4GHz, 15.6"" Full HD, 16GB, SSD 512GB, NVIDIA GeForce RTX 3050 Ti 4GB, Free DOS, Onyx Grey",https://altex.ro/laptop-gaming-lenovo-ideapad-gaming-3-15iah7-intel-core-i5-12450h-pana-la-4-4ghz-15-6-full-hd-16gb-ssd-512gb-nvidia-geforce-rtx-3050-ti-4gb-free-dos-onyx-grey/cpd/LAP82S900KKRM/
"Laptop HP 15s-eq2056nq, AMD Ryzen 5 5500U pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Windows 11 Home S, argintiu",https://altex.ro/laptop-hp-15s-eq2056nq-amd-ryzen-5-5500u-pana-la-4-0ghz-15-6-full-hd-8gb-ssd-512gb-amd-radeon-graphics-windows-11-home-s-argintiu/cpd/LAP5D5Z0EA/
"Laptop ASUS Vivobook 15 X1502ZA-BQ243, Intel Core i5-1240P pana la 4.4GHz, 15.6"" Full HD, 8GB, SSD 512GB, Intel Iris Xe Graphics, Free Dos, Quiet Blue",https://altex.ro/laptop-asus-vivobook-15-x1502za-bq243-intel-core-i5-1240p-pana-la-4-4ghz-15-6-full-hd-8gb-ssd-512gb-intel-iris-xe-graphics-free-dos-quiet-blue/cpd/LAPX1502ZABQ243/
"Laptop ASUS VivoBook 15 M1502IA-BQ086, AMD Ryzen 5 4600H pana la 4.0GHz, 15.6"" Full HD, 8GB, SSD 512GB, AMD Radeon Graphics, Free DOS, Quiet Blue",https://altex.ro/laptop-asus-vivobook-15-m1502ia-bq086-amd-ryzen-5-4600h-pana-la-4-0ghz-15-6-full-hd-8gb-ssd-512gb-amd-radeon-graphics-free-dos-quiet-blue/cpd/LAPM1502IABQ086/
"Laptop ASUS VivoBook 15 R1502ZA-BQ1007, Intel Core i7-1260P pana la 4.7GHz, 15.6"" Full HD, 16GB, SSD 512GB, Intel Iris Xe, Free Dos, Quiet Blue",https://altex.ro/laptop-asus-vivobook-15-r1502za-bq1007-intel-core-i7-1260p-pana-la-4-7ghz-15-6-full-hd-16gb-ssd-512gb-intel-iris-xe-free-dos-quiet-blue/cpd/LAPR1502ZBQ1007/
"Laptop HP 14s-dq5007nq, Intel Core i3-1215U pana la 4.4GHz, 14"", FHD, 16GB, SSD 512GB, Intel Iris Xe Graphics, Windows 11 Home, argintiu",https://altex.ro/laptop-hp-14s-dq5007nq-intel-core-i3-1215u-pana-la-4-4ghz-14-fhd-16gb-ssd-512gb-intel-iris-xe-graphics-windows-11-home-argintiu/cpd/LAP6M2A6EA/
