Nume,Link
"Laptop HP ProBook 445 G8 cu procesor AMD Ryzen 5 5600U (16M Cache, up to 4.2 GHz), 14"" FHD, 8GB, 512GB SSD, AMD Radeon Graphics, Windows 10 Pro",https://www.emag.ro/laptop-hp-probook-445-g8-cu-procesor-amd-ryzen-5-5600u-16m-cache-up-to-4-2-ghz-14-fhd-8gb-512gb-ssd-amd-radeon-graphics-windows-10-pro-4k7c8ea/pd/DN8TFCMBM/
"Laptop LG Gram 15Z90Q cu procesor Intel Core i7-1260P, 15.6"" FHD (1920*1080), 16GB DDR5, 512 GB SSD, Intel Iris Xe Graphics, Windows 11 Home Plus, Obsidian Black",https://www.emag.ro/laptop-lg-gram-15z90q-cu-procesor-intel-core-i7-1260p-15-6-fhd-1920-1080-16gb-ddr5-512-gb-ssd-intel-iris-xe-graphics-windows-11-home-plus-obsidian-black-15z90q-g-aa75h1/pd/DG7054MBM/
"Laptop Lenovo ThinkBook 15 G2 ITL cu procesor Intel® Core™ i5-1135G7 pana la 4.20 GHz, 15.6"", Full HD, IPS, 16GB, 512GB SSD, Intel Iris Xe Graphics, No OS, Mineral Grey",https://www.emag.ro/laptop-lenovo-thinkbook-15-g2-itl-cu-procesor-intelr-coretm-i5-1135g7-pana-la-4-20-ghz-15-6-full-hd-ips-16gb-512gb-ssd-intel-iris-xe-graphics-no-os-mineral-grey-20ve0056rm/pd/D59JFNMBM/
"Laptop Gaming ASUS ROG Strix G15 G513IE cu procesor AMD Ryzen™ 7 4800H, 15.6"", Full HD, 144Hz, 16GB, 512GB SSD, NVIDIA® GeForce RTX™ 3050 Ti 4GB, No OS, Eclipse Gray",https://www.emag.ro/laptop-gaming-asus-rog-strix-g15-g513ie-cu-procesor-amd-ryzentm-7-4800h-15-6-full-hd-144hz-16gb-512gb-ssd-nvidiar-geforce-rtxtm-3050-ti-4gb-no-os-eclipse-gray-g513ie-hn004/pd/DT6LJ9MBM/
"Laptop Gateway GWNR71517 Ultra Slim cu procesor AMD Ryzen™ 7 3700U pana la 4.00GHz, Memorie 8GB DDR4, 512GB SSD, video Radeon™ RX Vega 10 Graphics, Display 15.6"" Full HD, Windows 11, Gri",https://www.emag.ro/laptop-gateway-gwnr71517-ultra-slim-cu-procesor-amd-ryzentm-7-3700u-pana-la-4-00ghz-memorie-8gb-ddr4-512gb-ssd-video-radeontm-rx-vega-10-graphics-display-15-6-full-hd-windows-11-gri-lg-gwnr71517-01/pd/DP5NPRMBM/
"Laptop Gaming Lenovo Legion 5 15IAH7H cu procesor Intel® Core™ i7-12700H pana la 4.70 GHz, 15.6"", Full HD, IPS, 32GB, 512GB SSD, NVIDIA GeForce RTX 3060 6GB, No OS, Cloud Grey, 3y on-site, Premium Care",https://www.emag.ro/laptop-gaming-lenovo-legion-5-15iah7h-cu-procesor-intelr-coretm-i7-12700h-pana-la-4-70-ghz-15-6-full-hd-ips-32gb-512gb-ssd-nvidia-geforce-rtx-3060-6gb-no-os-cloud-grey-3y-on-site-premium-care-82rb00lh/pd/DF6Y8LMBM/
"Laptop Gaming HP Victus 15-fa0024nq cu procesor Intel® Core™ i5-12500H pana la 4.50 GHz, 15.6'', Full HD, IPS, 8GB DDR4, 512GB SSD, GeForce GTX 1650 4GB, Free DOS, Performance Blue",https://www.emag.ro/laptop-gaming-hp-victus-15-fa0024nq-cu-procesor-intelr-coretm-i5-12500h-pana-la-4-50-ghz-15-6-full-hd-ips-8gb-ddr4-512gb-ssd-geforce-gtx-1650-4gb-free-dos-performance-blue-6m2y9ea/pd/DK0DVCMBM/
"Laptop Gaming ASUS TUF F15 FX506HC cu procesor Intel® Core™ i5-11400H pana la 4.50 GHz, 15.6"", Full HD, IPS, 144Hz, 8GB, 1TB SSD, NVIDIA® GeForce RTX™ 3050 4GB, No OS, Graphite Black",https://www.emag.ro/laptop-gaming-asus-tuf-f15-fx506hc-cu-procesor-intelr-coretm-i5-11400h-pana-la-4-50-ghz-15-6-full-hd-ips-144hz-8gb-1tb-ssd-nvidiar-geforce-rtxtm-3050-4gb-no-os-graphite-black-fx506hc-hn053/pd/DGW6HZMBM/
"Laptop ultraportabil Lenovo Yoga7 16IAH7 cu procesor Intel Core i7-12700H, 16"", 2.5K, IPS, 32GB, 1TB SSD, Intel Arc A370M 4GB, Windows 11 Home 64, Arctic Grey",https://www.emag.ro/laptop-ultraportabil-lenovo-yoga7-16iah7-cu-procesor-intel-core-i7-12700h-16-2-5k-ips-32gb-1tb-ssd-intel-arc-a370m-4gb-windows-11-home-64-arctic-grey-82uf0051rm/pd/DKQYXQMBM/
"Laptop Gaming Lenovo IdeaPad 3 15ACH6 cu procesor AMD Ryzen™ 7 5800H pana la 4.40 GHz, 15.6"", Full HD, IPS, 120Hz, 8GB, 512GB SSD, NVIDIA GeForce RTX 3050 4GB, No OS, Shadow Black",https://www.emag.ro/laptop-gaming-lenovo-ideapad-3-15ach6-cu-procesor-amd-ryzentm-7-5800h-pana-la-4-40-ghz-15-6-full-hd-ips-120hz-8gb-512gb-ssd-nvidia-geforce-rtx-3050-4gb-no-os-shadow-black-82k2007erm/pd/DPLYXXMBM/
