Nume,Link
"Laptop DELL 15.6'' Latitude 5530 (seria 5000), FHD, Procesor Intel® Core™ i7-1255U (12M Cache, up to 4.70 GHz), 16GB DDR4, 512GB SSD, Intel Iris Xe, Win 11 Pro, 3Yr BOS",https://www.pcgarage.ro/notebook-laptop/dell/156-latitude-5530-seria-5000-fhd-procesor-intel-core-i7-1255u-12m-cache-up-to-470-ghz-16gb-ddr4-512gb-ssd-intel-iris-xe-win-11-pro-3yr-bos/
"Laptop ASUS Gaming 13.4'' ROG Flow Z13 GZ301ZC, WUXGA 120Hz Touch, Procesor Intel® Core™ i7-12700H (24M Cache, up to 4.70 GHz), 16GB DDR5, 512GB SSD, GeForce RTX 3050 4GB, Win 11 Home, Black",https://www.pcgarage.ro/notebook-laptop/asus/gaming-134-rog-flow-z13-gz301zc-wuxga-120hz-touch-procesor-intel-core-i7-12700h-24m-cache-up-to-470-ghz-16gb-ddr5-512gb-ssd-geforce-rtx-3050-4gb-win-11-home-black/
"Laptop ASUS Gaming 15.6'' ROG Strix G15 G513RM, QHD 165Hz, Procesor AMD Ryzen™ 7 6800H (16M Cache, up to 4.7 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 3060 6GB, No OS, Volt Green",https://www.pcgarage.ro/notebook-laptop/asus/gaming-156-rog-strix-g15-g513rm-qhd-165hz-procesor-amd-ryzen-7-6800h-16m-cache-up-to-47-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-3060-6gb-no-os-volt-green/
"Laptop Apple 13.3'' MacBook Pro 13 Retina with Touch Bar, Apple M2 chip (8-core CPU), 8GB, 512GB SSD, Apple M2 10-core GPU, macOS Monterey, Space Grey, INT keyboard, 2022",https://www.pcgarage.ro/notebook-laptop/apple/133-macbook-pro-13-retina-with-touch-bar-apple-m2-chip-8-core-cpu-8gb-512gb-ssd-apple-m2-10-core-gpu-macos-monterey-space-grey-int-keyboard-2022/
"Laptop ASUS Gaming 14'' ROG Zephyrus G14 GA402RK, FHD+ 144Hz, Procesor AMD Ryzen™ 7 6800HS (16M Cache, up to 4.7 GHz), 16GB DDR5, 1TB SSD, Radeon RX 6800S 8GB, Win 11 Home, Eclipse Gray AniMe Matrix",https://www.pcgarage.ro/notebook-laptop/asus/gaming-14-rog-zephyrus-g14-ga402rk-fhd-plus-144hz-procesor-amd-ryzen-7-6800hs-16m-cache-up-to-47-ghz-16gb-ddr5-1tb-ssd-radeon-rx-6800s-8gb-win-11-home-eclipse-gray-anime-matrix/
"Laptop ASUS Gaming 13.4'' ROG Flow X13 GV301RE, UHD+ Touch, Procesor AMD Ryzen™ 9 6900HS (16M Cache, up to 4.9 GHz), 32GB DDR5, 1TB SSD, GeForce RTX 3050 Ti 4GB, Win 11 Home, Off Black",https://www.pcgarage.ro/notebook-laptop/asus/gaming-134-rog-flow-x13-gv301re-uhd-plus-touch-procesor-amd-ryzen-9-6900hs-16m-cache-up-to-49-ghz-32gb-ddr5-1tb-ssd-geforce-rtx-3050-ti-4gb-win-11-home-off-black/
"Laptop HP Gaming 16.1'' OMEN 16-k0002nq, QHD IPS 165Hz, Procesor Intel® Core™ i9-12900H (24M Cache, up to 5.00 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 3070 Ti 8GB, Win 11 Home, Shadow Black",https://www.pcgarage.ro/notebook-laptop/hp/gaming-161-omen-16-k0002nq-qhd-ips-165hz-procesor-intel-core-i9-12900h-24m-cache-up-to-500-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-3070-ti-8gb-win-11-home-shadow-black/
"Laptop HP Gaming 17.3'' OMEN 17-ck1014nq, FHD IPS 144Hz, Procesor Intel® Core™ i7-12700H (24M Cache, up to 4.70 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 3070 Ti 8GB, Free DOS, Shadow Black",https://www.pcgarage.ro/notebook-laptop/hp/gaming-173-omen-17-ck1014nq-fhd-ips-144hz-procesor-intel-core-i7-12700h-24m-cache-up-to-470-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-3070-ti-8gb-free-dos-shadow-black/
"Laptop HP Gaming 17.3'' OMEN 17-ck1012nq, QHD IPS 165Hz, Procesor Intel® Core™ i7-12800HX (25M Cache, up to 4.80 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 3070 Ti 8GB, Free DOS, Shadow Black",https://www.pcgarage.ro/notebook-laptop/hp/gaming-173-omen-17-ck1012nq-qhd-ips-165hz-procesor-intel-core-i7-12800hx-25m-cache-up-to-480-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-3070-ti-8gb-free-dos-shadow-black/
"Laptop Lenovo Gaming 16'' Legion 5 Pro 16ARH7H, WQXGA IPS 165Hz G-Sync, Procesor AMD Ryzen™ 9 6900HX (16M Cache, up to 4.9 GHz), 16GB DDR5, 1TB SSD, GeForce RTX 3070 Ti 8GB, No OS, Storm Grey, 3Yr Onsite Premium Care",https://www.pcgarage.ro/notebook-laptop/lenovo/gaming-16-legion-5-pro-16arh7h-wqxga-ips-165hz-g-sync-procesor-amd-ryzen-9-6900hx-16m-cache-up-to-49-ghz-16gb-ddr5-1tb-ssd-geforce-rtx-3070-ti-8gb-no-os-storm-grey/
